Lifetime Avg,Lifetime Median,Lifetime IQ1,Lifetime IQ3,Daily Avg,Daily Median,Daily Max,Daily Min
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.38091311475409834,0.4404,0.9999,-0.6486
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.2278681818181818,0.1636,0.9928,-0.826
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.17589074074074076,0.0809,0.9554,-0.7003
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.3804354838709677,0.3612,0.9947,-0.3612
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.2170750000000001,0.05055,0.9986,-0.9968
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.32840333333333327,0.4019,0.9947,-0.7845
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.27868181818181825,0.3818,0.9979,-0.9612
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.37461098901098905,0.4588,0.9913,-0.8235
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.270956338028169,0.11449999999999999,0.996,-0.8795
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.19692727272727287,0.0772,0.9831,-0.9695
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.2513806451612904,0.4404,0.9857,-0.9982
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.3118188888888889,0.41169999999999995,0.9906,-0.7549
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.34980147058823546,0.41910000000000003,0.9705,-0.5719
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.4395841584158414,0.6369,0.9678,-0.8885
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.506626785714286,0.6249,0.9888,-0.5267
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.2838190476190478,0.3715,0.9971,-0.9246
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.3129081967213116,0.4019,0.997,-0.9249
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.20271185185185184,0.0516,0.973,-0.8252
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.19460139860139875,0.0772,0.9878,-0.9393
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.19202716049382718,0.2023,0.9936,-0.9359999999999999
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.2905796610169491,0.4019,0.9747,-0.852
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.3544588888888889,0.4404,0.9878,-0.7845
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.33343059701492533,0.39185,0.9994,-0.9325
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.4070022556390974,0.4656,0.9753,-0.9788
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.3501980392156862,0.3818,0.991,-0.7755
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.05167294117647059,0.0,0.9702,-0.9983
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.2712397727272728,0.41169999999999995,0.9948,-0.9991
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.3346525862068966,0.3777,0.9983,-0.9365
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.24425794392523364,0.0516,0.9938,-0.9788
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.2535384615384617,0.2732,0.9918,-0.9590000000000001
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.19379291338582685,0.0,0.9828,-0.973
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.26085,0.31800000000000006,0.9796,-0.9201
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.49171818181818183,0.5106,0.8909999999999999,0.0
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.23292395833333326,0.07715,0.9918,-0.9403
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.23709714285714284,0.0516,0.9927,-0.765
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.22367234042553194,0.30710000000000004,0.9718,-0.9744
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.24368787878787881,0.07715,0.9792,-0.9136
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.2679022727272727,0.1521,0.9962,-0.7906
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.26572112676056336,0.2023,0.9516,-0.8481
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.2979507936507937,0.3818,0.9934,-0.8226
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.2619835820895523,0.34,0.9686,-0.9403
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.325978313253012,0.4404,0.9559,-0.9517
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.2337102362204724,0.0,0.9985,-0.9595
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.12995217391304345,0.0,0.9528,-0.6369
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.26649275362318836,0.1779,0.9885,-0.9201
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.23327710843373492,0.2023,0.9766,-0.7717
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.2265,0.0,0.9963,-0.8689
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.2077412371134021,0.0258,0.9841,-0.7506
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.285725,0.29569999999999996,0.9783,-0.9520000000000001
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.2401800000000001,0.11449999999999999,0.9929,-0.9784
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.22368354430379747,0.0772,0.9799,-0.8593
0.27123109565614273,0.29600000000000004,0.0,0.7184,0.16775476190476193,0.0,0.9661,-0.93
